Model,Actor,True V,True B,FL Count,FL %,FI Count,FI %,NBS
gemma3_4b,Police,6,0,0,0.00%,0,0.00%,0.000
gemma3_4b,Military,146,227,0,0.00%,109,48.02%,1.000
gemma3_4b,Total,362,339,0,0.00%,158,46.61%,1.000
llama3.2_3b,Police,6,0,0,0.00%,0,0.00%,0.000
llama3.2_3b,Military,146,227,3,2.05%,66,29.07%,0.868
llama3.2_3b,Total,362,339,3,0.83%,94,27.73%,0.942
mistral_7b,Police,6,0,0,0.00%,0,0.00%,0.000
mistral_7b,Military,146,227,11,7.53%,7,3.08%,-0.419
mistral_7b,Total,362,339,22,6.08%,11,3.24%,-0.304
olmo2_7b,Police,6,0,0,0.00%,0,0.00%,0.000
olmo2_7b,Military,146,227,9,6.16%,14,6.17%,0.000
olmo2_7b,Total,362,339,17,4.70%,19,5.60%,0.088
