Model,Actor,Condition,n_V,n_B,n_FL,ε_FL,FL_CI_lower,FL_CI_upper,n_FI,ε_FI,FI_CI_lower,FI_CI_upper,Δ_LB,p_value
llama3.2_3b,Police,zero_shot,6,0,0,0.0,0.0,39.03430336530645,0,0.0,0.0,0.0,0.0,1.0
llama3.2_3b,Military,zero_shot,146,227,3,2.054794520547945,0.7012254487828041,5.866777028499873,66,29.074889867841406,23.55466107716402,35.29157807557101,27.020095347293463,0.001
llama3.2_3b,Total,zero_shot,362,339,3,0.8287292817679558,0.2822299632925077,2.4078960365937814,94,27.728613569321535,23.2329303772531,32.72340631001006,26.89988428755358,0.001
mistral_7b,Police,zero_shot,6,0,0,0.0,0.0,39.03430336530645,0,0.0,0.0,0.0,0.0,1.0
mistral_7b,Military,zero_shot,146,227,11,7.534246575342466,4.258787980687761,12.987157070619753,7,3.0837004405286343,1.5015980593992395,6.227338146206682,-4.450546134813831,0.05
mistral_7b,Total,zero_shot,362,339,22,6.077348066298343,4.04727450831748,9.029860514052857,11,3.2448377581120944,1.8213317135945675,5.7161433186068935,-2.832510308186248,0.2
olmo2_7b,Police,zero_shot,6,0,0,0.0,0.0,39.03430336530645,0,0.0,0.0,0.0,0.0,1.0
olmo2_7b,Military,zero_shot,146,227,9,6.164383561643835,3.276635005485378,11.299824402315926,14,6.167400881057269,3.7089497524374764,10.084751209607493,0.003017319413433306,0.2
olmo2_7b,Total,zero_shot,362,339,17,4.696132596685083,2.9523940753182583,7.391317520082592,19,5.604719764011799,3.6170885325636637,8.587264731450972,0.9085871673267158,1.0
gemma3_4b,Police,zero_shot,6,0,0,0.0,0.0,39.03430336530645,0,0.0,0.0,0.0,0.0,1.0
gemma3_4b,Military,zero_shot,146,227,0,0.0,0.0,2.563774012023363,109,48.01762114537445,41.60546000808375,54.49576264849115,48.01762114537445,0.001
gemma3_4b,Total,zero_shot,362,339,0,0.0,0.0,1.0500719437045978,158,46.607669616519175,41.365015272897196,51.92634726887139,46.607669616519175,0.001
