Model,Condition,n_FL,ε_FL,FL_CI_lower,FL_CI_upper,n_FI,ε_FI,FI_CI_lower,FI_CI_upper,Δ_LB,p_value,True_V,True_B
gemma3_4b,zero_shot,0,0.0,0.0,1.0500719437045978,158,46.607669616519175,41.365015272897196,51.92634726887139,46.607669616519175,0.001,362,339
llama3.2_3b,zero_shot,3,0.8287292817679558,0.2822299632925077,2.4078960365937814,94,27.728613569321535,23.2329303772531,32.72340631001006,26.89988428755358,0.001,362,339
llama3.2_3b,few_shot_1,32,8.83977900552486,6.331129315461223,12.212852560848086,46,13.569321533923304,10.329502749774079,17.62556454661003,4.729542528398444,0.2,362,339
llama3.2_3b,few_shot_3,18,4.972375690607735,3.1680753884435724,7.722320892351176,59,17.404129793510325,13.739366732836933,21.79937769024359,12.431754102902591,0.001,362,339
llama3.2_3b,few_shot_5,16,4.41988950276243,2.738618353267665,7.0584085567392885,47,13.864306784660767,10.588819556438182,17.949607518922576,9.444417281898337,0.001,362,339
mistral_7b,zero_shot,22,6.077348066298343,4.04727450831748,9.029860514052857,11,3.2448377581120944,1.8213317135945675,5.7161433186068935,-2.832510308186248,0.2,362,339
mistral_7b,few_shot_1,5,1.3812154696132597,0.5913685314702615,3.1921268392038225,56,16.519174041297934,12.94552715625518,20.8431379298954,15.137958571684674,0.001,362,339
mistral_7b,few_shot_3,2,0.5524861878453038,0.15163944920989716,1.991801865282495,43,12.684365781710916,9.554952735018121,16.650035224436046,12.131879593865612,0.001,362,339
mistral_7b,few_shot_5,2,0.5524861878453038,0.15163944920989716,1.991801865282495,41,12.094395280235988,9.04158418573433,15.996684215766537,11.541909092390684,0.001,362,339
olmo2_7b,zero_shot,17,4.696132596685083,2.9523940753182583,7.391317520082592,19,5.604719764011799,3.6170885325636637,8.587264731450972,0.9085871673267158,1.0,362,339
