Model,Actor,True V,True B,FL Count,FL %,FI Count,FI %,NBS
gemma3_4b,Police,35,78,0,0.00%,59,75.64%,1.000
gemma3_4b,Military,24,233,0,0.00%,61,26.18%,1.000
gemma3_4b,Total,273,409,0,0.00%,191,46.70%,1.000
llama3.2_3b,Police,35,78,0,0.00%,7,8.97%,1.000
llama3.2_3b,Military,24,233,0,0.00%,6,2.58%,1.000
llama3.2_3b,Total,273,409,1,0.37%,42,10.27%,0.931
mistral_7b,Police,35,78,0,0.00%,1,1.28%,1.000
mistral_7b,Military,24,233,3,12.50%,0,0.00%,-1.000
mistral_7b,Total,273,409,11,4.03%,9,2.20%,-0.294
olmo2_7b,Police,35,78,0,0.00%,1,1.28%,1.000
olmo2_7b,Military,24,233,2,8.33%,1,0.43%,-0.902
olmo2_7b,Total,273,409,18,6.59%,10,2.44%,-0.459
