Model,Actor,Condition,n_V,n_B,n_FL,ε_FL,FL_CI_lower,FL_CI_upper,n_FI,ε_FI,FI_CI_lower,FI_CI_upper,Δ_LB,p_value
llama3.2_3b,Police,zero_shot,35,78,0,0.0,0.0,9.890426758938869,7,8.974358974358974,4.415244718641105,17.384915591030257,8.974358974358974,0.05
llama3.2_3b,Military,zero_shot,24,233,0,0.0,0.0,13.798057582897535,6,2.575107296137339,1.1854044718643295,5.503285352896187,2.575107296137339,0.05
llama3.2_3b,Total,zero_shot,273,409,1,0.3663003663003663,0.06468863566691727,2.0453988656334654,42,10.268948655256724,7.687223130411409,13.590090008574581,9.902648288956357,0.001
mistral_7b,Police,zero_shot,35,78,0,0.0,0.0,9.890426758938869,1,1.282051282051282,0.22666733888537863,6.911023028849367,1.282051282051282,1.0
mistral_7b,Military,zero_shot,24,233,3,12.5,4.344255039315584,31.004288147857572,0,0.0,0.0,1.6220123491819,-12.5,1.0
mistral_7b,Total,zero_shot,273,409,11,4.029304029304029,2.2645276866601036,7.069907600522171,9,2.2004889975550124,1.161904528825023,4.128647586078126,-1.8288150317490168,1.0
olmo2_7b,Police,zero_shot,35,78,0,0.0,0.0,9.890426758938869,1,1.282051282051282,0.22666733888537863,6.911023028849367,1.282051282051282,1.0
olmo2_7b,Military,zero_shot,24,233,2,8.333333333333332,2.315832784297353,25.849215201450594,1,0.4291845493562232,0.07579987871743477,2.3906587163942348,-7.904148783977109,1.0
olmo2_7b,Total,zero_shot,273,409,18,6.593406593406594,4.2109598174115135,10.180518919888081,10,2.444987775061125,1.333371048436225,4.4416283702270105,-4.148418818345469,0.2
gemma3_4b,Police,zero_shot,35,78,0,0.0,0.0,9.890426758938869,59,75.64102564102564,65.06001354577253,83.81488626068285,75.64102564102564,0.001
gemma3_4b,Military,zero_shot,24,233,0,0.0,0.0,13.798057582897535,61,26.180257510729614,20.954432936321425,32.178800414576386,26.180257510729614,0.001
gemma3_4b,Total,zero_shot,273,409,0,0.0,0.0,1.3876527227121935,191,46.69926650366748,41.91721397838714,51.54274742085169,46.69926650366748,0.001
