Model,Condition,n_FL,ε_FL,FL_CI_lower,FL_CI_upper,n_FI,ε_FI,FI_CI_lower,FI_CI_upper,Δ_LB,p_value,True_V,True_B
gemma3_4b,zero_shot,0,0.0,0.0,1.3876527227121935,191,46.69926650366748,41.91721397838714,51.54274742085169,46.69926650366748,0.001,273,409
gemma3_4b,few_shot_1,11,4.029304029304029,2.2645276866601036,7.069907600522171,17,4.156479217603912,2.611028630832965,6.555101914150872,0.1271751882998826,0.2,273,409
gemma3_4b,few_shot_3,4,1.465201465201465,0.5712153796588195,3.7061764574061304,45,11.00244498777506,8.325046033415317,14.405609016850931,9.537243522573595,0.001,273,409
llama3.2_3b,zero_shot,1,0.3663003663003663,0.06468863566691727,2.0453988656334654,42,10.268948655256724,7.687223130411409,13.590090008574581,9.902648288956357,0.001,273,409
llama3.2_3b,few_shot_1,7,2.564102564102564,1.2474713430687587,5.197224829760758,89,21.76039119804401,18.03424713515456,26.012089280555482,19.19628863394145,0.001,273,409
llama3.2_3b,few_shot_3,7,2.564102564102564,1.2474713430687587,5.197224829760758,53,12.95843520782396,10.04513859842493,16.561094881922006,10.394332643721397,0.001,273,409
llama3.2_3b,few_shot_5,6,2.197802197802198,1.0110597164400368,4.7112016778012915,38,9.290953545232274,6.843859290505752,12.495664633439896,7.093151347430076,0.001,273,409
mistral_7b,zero_shot,11,4.029304029304029,2.2645276866601036,7.069907600522171,9,2.2004889975550124,1.161904528825023,4.128647586078126,-1.8288150317490168,1.0,273,409
mistral_7b,few_shot_1,4,1.465201465201465,0.5712153796588195,3.7061764574061304,50,12.224938875305623,9.397055646163293,15.755835922903389,10.759737410104158,0.001,273,409
mistral_7b,few_shot_3,1,0.3663003663003663,0.06468863566691727,2.0453988656334654,45,11.00244498777506,8.325046033415317,14.405609016850931,10.636144621474694,0.001,273,409
mistral_7b,few_shot_5,1,0.3663003663003663,0.06468863566691727,2.0453988656334654,54,13.202933985330073,10.261919839965152,16.82876094414187,12.836633619029707,0.001,273,409
olmo2_7b,zero_shot,18,6.593406593406594,4.2109598174115135,10.180518919888081,10,2.444987775061125,1.333371048436225,4.4416283702270105,-4.148418818345469,0.2,273,409
olmo2_7b,few_shot_1,23,8.424908424908425,5.679366653516358,12.32428597672419,29,7.090464547677261,4.981866873900049,9.997631316204822,-1.3344438772311644,1.0,273,409
olmo2_7b,few_shot_3,7,2.564102564102564,1.2474713430687587,5.197224829760758,30,7.334963325183375,5.185925915402556,10.278019578462402,4.770860761080811,0.001,273,409
olmo2_7b,few_shot_5,1,0.3663003663003663,0.06468863566691727,2.0453988656334654,113,27.628361858190708,23.518052015239533,32.15501969071257,27.262061491890343,0.001,273,409
