perturbation_type,model,CFR_flip_rate,n_perturbations,mean_confidence_delta,mean_abs_confidence_delta,CDE_mean,CDE_median,t_pvalue,wilcoxon_pvalue
legitimation_add,mistral:7b,0.25,20,0.0100000000000001,0.0100000000000001,0.0100000000000001,1.1102230246251563e-16,0.0420862867104996,2.92592680297846e-05
delegitimation_add,mistral:7b,0.25,40,-0.0012499999999998,0.0087500000000001,-0.0012499999999998,1.1102230246251563e-16,0.767241455770671,1.1841836112238875e-06
provenance_add,mistral:7b,0.2333333333333333,60,0.0025000000000001,0.0058333333333334,0.0025000000000001,1.1102230246251563e-16,0.3213942797694233,3.8747338871390066e-12
decontextualization,mistral:7b,0.1666666666666666,36,0.0166666666666667,0.0166666666666667,0.0166666666666667,1.1102230246251563e-16,0.0001831173329636,4.9330744206151446e-08
actor_substitution,mistral:7b,0.0909090909090909,33,0.0090909090909092,0.0090909090909092,0.0090909090909092,1.1102230246251563e-16,0.0119141595417082,7.450682457680531e-08
intensity_high,mistral:7b,0.1904761904761904,21,0.0071428571428572,0.0071428571428572,0.0071428571428572,1.1102230246251563e-16,0.0828588971052741,1.3831754843196848e-05
action_substitution,mistral:7b,0.1111111111111111,27,0.0055555555555556,0.012962962962963,0.0055555555555556,1.1102230246251563e-16,0.3265270222606056,3.604082382792408e-05
negation,mistral:7b,0.2,10,0.0050000000000001,0.0250000000000001,0.0050000000000001,1.1102230246251563e-16,0.7263142108887194,0.05078125
sufficiency,mistral:7b,0.0,1,1.1102230246251563e-16,1.1102230246251563e-16,,,,
legitimation_add,olmo2:7b,0.6,20,-0.06049999999999996,0.0605,-0.06049999999999996,-0.04999999999999993,7.669675571006777e-06,0.00020104852405345537
delegitimation_add,olmo2:7b,0.6,40,-0.05449999999999996,0.06449999999999999,-0.05449999999999996,-0.044999999999999984,2.928397110912539e-07,6.061398345667004e-05
provenance_add,olmo2:7b,0.5833333333333334,60,-0.05383333333333328,0.06716666666666664,-0.05383333333333328,-0.040000000000000036,7.399504242209323e-10,3.171276843266558e-06
decontextualization,olmo2:7b,0.5,38,-0.048421052631578906,0.05368421052631579,-0.048421052631578906,-0.040000000000000036,6.237527352734195e-07,5.193782481513594e-05
actor_substitution,olmo2:7b,0.45454545454545453,33,-0.043030303030303,0.04303030303030307,-0.043030303030303,-0.040000000000000036,1.153637167360691e-06,2.0358983492183808e-05
intensity_high,olmo2:7b,0.3888888888888889,18,-0.03333333333333331,0.03333333333333336,-0.03333333333333331,-0.040000000000000036,0.0002498049183476932,0.001992081015671852
action_substitution,olmo2:7b,0.4444444444444444,18,-0.04111111111111109,0.041111111111111126,-0.04111111111111109,-0.040000000000000036,4.008265719011271e-05,0.0005620432381840561
negation,olmo2:7b,0.5,8,-0.057499999999999954,0.05750000000000001,-0.057499999999999954,-0.040000000000000036,0.014823882227251974,0.03125
