model,feature,feature_value,n_samples,error_rate,error_rate_diff_from_overall
llama3.2:3b,notes_length,very_short,2,0.0,-0.283
llama3.2:3b,notes_length,short,388,0.28865979381443296,0.00565979381443299
llama3.2:3b,notes_length,medium,470,0.27872340425531916,-0.004276595744680811
llama3.2:3b,notes_length,long,138,0.2898550724637681,0.006855072463768153
llama3.2:3b,notes_length,very_long,2,0.0,-0.283
llama3.2:3b,notes_length_continuous,correlation,1000,0.0075942095976593935,0.810444146695257
mistral:7b,notes_length,very_short,2,0.0,-0.297
mistral:7b,notes_length,short,388,0.29896907216494845,0.00196907216494846
mistral:7b,notes_length,medium,470,0.2936170212765957,-0.003382978723404262
mistral:7b,notes_length,long,138,0.3115942028985507,0.014594202898550734
mistral:7b,notes_length,very_long,2,0.0,-0.297
mistral:7b,notes_length_continuous,correlation,1000,-0.012308203735770296,0.6974629426294945
gemma3:4b,notes_length,very_short,2,0.0,-0.482
gemma3:4b,notes_length,short,388,0.4845360824742268,0.0025360824742268195
gemma3:4b,notes_length,medium,470,0.5,0.018000000000000016
gemma3:4b,notes_length,long,138,0.427536231884058,-0.054463768115942
gemma3:4b,notes_length,very_long,2,0.0,-0.482
gemma3:4b,notes_length_continuous,correlation,1000,0.006017687027012805,0.8492623597958648
olmo2:7b,notes_length,very_short,2,1.0,0.702
olmo2:7b,notes_length,short,388,0.31443298969072164,0.016432989690721655
olmo2:7b,notes_length,medium,470,0.28297872340425534,-0.015021276595744648
olmo2:7b,notes_length,long,138,0.2971014492753623,-0.0008985507246376812
olmo2:7b,notes_length,very_long,2,0.0,-0.298
olmo2:7b,notes_length_continuous,correlation,1000,-0.04999933292592923,0.11407742841094796
