model,label,precision,recall,f1,support
gemma3:4b,B,1.0,0.34285714285714286,0.5106382978723404,70
gemma3:4b,E,0.4,1.0,0.5714285714285714,4
gemma3:4b,P,1.0,1.0,1.0,3
gemma3:4b,R,0.0,0.0,0.0,7
gemma3:4b,S,1.0,0.024390243902439025,0.047619047619047616,41
gemma3:4b,V,0.46296296296296297,1.0,0.6329113924050633,75
llama3.2:3b,B,0.9824561403508771,0.8,0.8818897637795275,70
llama3.2:3b,E,0.25,1.0,0.4,4
llama3.2:3b,P,0.75,1.0,0.8571428571428571,3
llama3.2:3b,R,0.0,0.0,0.0,7
llama3.2:3b,S,0.9166666666666666,0.2682926829268293,0.41509433962264153,41
llama3.2:3b,V,0.6818181818181818,1.0,0.8108108108108109,75
mistral:7b,B,0.8888888888888888,0.9142857142857143,0.9014084507042254,70
mistral:7b,E,0.3076923076923077,1.0,0.47058823529411764,4
mistral:7b,P,0.375,1.0,0.5454545454545454,3
mistral:7b,R,0.14285714285714285,0.42857142857142855,0.21428571428571427,7
mistral:7b,S,1.0,0.04878048780487805,0.09302325581395349,41
mistral:7b,V,0.7619047619047619,0.8533333333333334,0.8050314465408805,75
olmo2:7b,B,0.9041095890410958,0.9428571428571428,0.9230769230769231,70
olmo2:7b,E,0.36363636363636365,1.0,0.5333333333333333,4
olmo2:7b,P,0.15789473684210525,1.0,0.2727272727272727,3
olmo2:7b,R,0.2727272727272727,0.42857142857142855,0.3333333333333333,7
olmo2:7b,S,0.8,0.0975609756097561,0.17391304347826086,41
olmo2:7b,V,0.7654320987654321,0.8266666666666667,0.7948717948717948,75
