model,feature,feature_value,n_samples,error_rate,error_rate_diff_from_overall
llama3.2:3b,notes_length,very_short,2,1.0,0.5489999999999999
llama3.2:3b,notes_length,short,388,0.40463917525773196,-0.04636082474226805
llama3.2:3b,notes_length,medium,470,0.46170212765957447,0.010702127659574456
llama3.2:3b,notes_length,long,138,0.5362318840579711,0.08523188405797105
llama3.2:3b,notes_length,very_long,2,0.5,0.04899999999999999
llama3.2:3b,notes_length_continuous,correlation,1000,0.10248519698147344,0.0011730151669654373
mistral:7b,notes_length,very_short,2,1.0,0.665
mistral:7b,notes_length,short,388,0.34536082474226804,0.010360824742268016
mistral:7b,notes_length,medium,470,0.33404255319148934,-0.0009574468085106758
mistral:7b,notes_length,long,138,0.30434782608695654,-0.03065217391304348
mistral:7b,notes_length,very_long,2,0.0,-0.335
mistral:7b,notes_length_continuous,correlation,1000,-0.03204782120130805,0.311330771329393
olmo2:7b,notes_length,very_short,2,1.0,0.661
olmo2:7b,notes_length,short,388,0.38917525773195877,0.050175257731958745
olmo2:7b,notes_length,medium,470,0.29148936170212764,-0.04751063829787239
olmo2:7b,notes_length,long,138,0.35507246376811596,0.01607246376811594
olmo2:7b,notes_length,very_long,2,0.0,-0.339
olmo2:7b,notes_length_continuous,correlation,1000,-0.08095636047360331,0.010435103574438186
