model,prob_col,threshold,accepted,coverage,correct,accuracy,total_valid
llama3.2:3b,pred_conf,0.0,200,1.0,141,0.705,200
llama3.2:3b,pred_conf,0.1,194,0.97,141,0.727,200
llama3.2:3b,pred_conf,0.2,194,0.97,141,0.727,200
llama3.2:3b,pred_conf,0.3,194,0.97,141,0.727,200
llama3.2:3b,pred_conf,0.4,194,0.97,141,0.727,200
llama3.2:3b,pred_conf,0.5,194,0.97,141,0.727,200
llama3.2:3b,pred_conf,0.6,194,0.97,141,0.727,200
llama3.2:3b,pred_conf,0.7,194,0.97,141,0.727,200
llama3.2:3b,pred_conf,0.8,184,0.92,133,0.723,200
llama3.2:3b,pred_conf,0.9,168,0.84,125,0.744,200
llama3.2:3b,pred_conf,0.95,49,0.245,29,0.592,200
llama3.2:3b,pred_conf,0.99,24,0.12,18,0.75,200
mistral:7b,pred_conf,0.0,200,1.0,124,0.62,200
mistral:7b,pred_conf,0.1,200,1.0,124,0.62,200
mistral:7b,pred_conf,0.2,200,1.0,124,0.62,200
mistral:7b,pred_conf,0.3,200,1.0,124,0.62,200
mistral:7b,pred_conf,0.4,200,1.0,124,0.62,200
mistral:7b,pred_conf,0.5,200,1.0,124,0.62,200
mistral:7b,pred_conf,0.6,200,1.0,124,0.62,200
mistral:7b,pred_conf,0.7,200,1.0,124,0.62,200
mistral:7b,pred_conf,0.8,195,0.975,122,0.626,200
mistral:7b,pred_conf,0.9,174,0.87,112,0.644,200
mistral:7b,pred_conf,0.95,148,0.74,95,0.642,200
mistral:7b,pred_conf,0.99,2,0.01,1,0.5,200
gemma3:4b,pred_conf,0.0,200,1.0,117,0.585,200
gemma3:4b,pred_conf,0.1,200,1.0,117,0.585,200
gemma3:4b,pred_conf,0.2,200,1.0,117,0.585,200
gemma3:4b,pred_conf,0.3,200,1.0,117,0.585,200
gemma3:4b,pred_conf,0.4,200,1.0,117,0.585,200
gemma3:4b,pred_conf,0.5,200,1.0,117,0.585,200
gemma3:4b,pred_conf,0.6,200,1.0,117,0.585,200
gemma3:4b,pred_conf,0.7,200,1.0,117,0.585,200
gemma3:4b,pred_conf,0.8,199,0.995,117,0.588,200
gemma3:4b,pred_conf,0.9,7,0.035,2,0.286,200
gemma3:4b,pred_conf,0.95,4,0.02,1,0.25,200
gemma3:4b,pred_conf,0.99,0,0.0,0,,200
olmo2:7b,pred_conf,0.0,200,1.0,119,0.595,200
olmo2:7b,pred_conf,0.1,200,1.0,119,0.595,200
olmo2:7b,pred_conf,0.2,200,1.0,119,0.595,200
olmo2:7b,pred_conf,0.3,200,1.0,119,0.595,200
olmo2:7b,pred_conf,0.4,200,1.0,119,0.595,200
olmo2:7b,pred_conf,0.5,200,1.0,119,0.595,200
olmo2:7b,pred_conf,0.6,200,1.0,119,0.595,200
olmo2:7b,pred_conf,0.7,199,0.995,119,0.598,200
olmo2:7b,pred_conf,0.8,198,0.99,118,0.596,200
olmo2:7b,pred_conf,0.9,123,0.615,52,0.423,200
olmo2:7b,pred_conf,0.95,123,0.615,52,0.423,200
olmo2:7b,pred_conf,0.99,50,0.25,10,0.2,200
llama3.2:3b,pred_conf_iso,0.0,200,1.0,141,0.705,200
llama3.2:3b,pred_conf_iso,0.1,194,0.97,141,0.727,200
llama3.2:3b,pred_conf_iso,0.2,194,0.97,141,0.727,200
llama3.2:3b,pred_conf_iso,0.3,194,0.97,141,0.727,200
llama3.2:3b,pred_conf_iso,0.4,194,0.97,141,0.727,200
llama3.2:3b,pred_conf_iso,0.5,150,0.75,116,0.773,200
llama3.2:3b,pred_conf_iso,0.6,150,0.75,116,0.773,200
llama3.2:3b,pred_conf_iso,0.7,150,0.75,116,0.773,200
llama3.2:3b,pred_conf_iso,0.8,0,0.0,0,,200
llama3.2:3b,pred_conf_iso,0.9,0,0.0,0,,200
llama3.2:3b,pred_conf_iso,0.95,0,0.0,0,,200
llama3.2:3b,pred_conf_iso,0.99,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.0,200,1.0,124,0.62,200
mistral:7b,pred_conf_iso,0.1,200,1.0,124,0.62,200
mistral:7b,pred_conf_iso,0.2,200,1.0,124,0.62,200
mistral:7b,pred_conf_iso,0.3,195,0.975,122,0.626,200
mistral:7b,pred_conf_iso,0.4,195,0.975,122,0.626,200
mistral:7b,pred_conf_iso,0.5,174,0.87,112,0.644,200
mistral:7b,pred_conf_iso,0.6,174,0.87,112,0.644,200
mistral:7b,pred_conf_iso,0.7,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.8,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.9,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.95,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.99,0,0.0,0,,200
gemma3:4b,pred_conf_iso,0.0,200,1.0,117,0.585,200
gemma3:4b,pred_conf_iso,0.1,199,0.995,117,0.588,200
