model,feature,feature_value,n_samples,error_rate,error_rate_diff_from_overall
llama3.2:3b,notes_length,very_short,2,0.5,0.14600000000000002
llama3.2:3b,notes_length,short,388,0.37371134020618557,0.01971134020618559
llama3.2:3b,notes_length,medium,470,0.3638297872340426,0.009829787234042597
llama3.2:3b,notes_length,long,138,0.26811594202898553,-0.08588405797101445
llama3.2:3b,notes_length,very_long,2,0.0,-0.354
llama3.2:3b,notes_length_continuous,correlation,1000,-0.062465290888590555,0.04829265676617439
mistral:7b,notes_length,very_short,2,1.0,0.5489999999999999
mistral:7b,notes_length,short,388,0.4536082474226804,0.0026082474226803987
mistral:7b,notes_length,medium,470,0.43829787234042555,-0.012702127659574458
mistral:7b,notes_length,long,138,0.4782608695652174,0.027260869565217394
mistral:7b,notes_length,very_long,2,0.5,0.04899999999999999
mistral:7b,notes_length_continuous,correlation,1000,-0.01970547857184027,0.5336637570631015
gemma3:4b,notes_length,very_short,2,0.0,-0.386
gemma3:4b,notes_length,short,388,0.39690721649484534,0.010907216494845329
gemma3:4b,notes_length,medium,470,0.3829787234042553,-0.003021276595744693
gemma3:4b,notes_length,long,138,0.37681159420289856,-0.009188405797101451
gemma3:4b,notes_length,very_long,2,0.0,-0.386
gemma3:4b,notes_length_continuous,correlation,1000,-0.004838707228825493,0.8785379575573222
olmo2:7b,notes_length,very_short,2,1.0,0.633
olmo2:7b,notes_length,short,388,0.41494845360824745,0.047948453608247454
olmo2:7b,notes_length,medium,470,0.3382978723404255,-0.028702127659574472
olmo2:7b,notes_length,long,138,0.32608695652173914,-0.04091304347826086
olmo2:7b,notes_length,very_long,2,0.0,-0.367
olmo2:7b,notes_length_continuous,correlation,1000,-0.10790234126689142,0.0006310922480539225
