perturbation_type,model,CFR_flip_rate,n_perturbations,mean_confidence_delta,mean_abs_confidence_delta,CDE_mean,CDE_median,t_pvalue,wilcoxon_pvalue
intensity_high,mistral:7b,0.2333333333333333,30,0.0403333333333333,0.0503333333333333,0.0403333333333333,0.0399999999999999,2.8924649034277738e-05,0.0005321581414015
legitimation_add,mistral:7b,0.4,20,0.065,0.068,0.065,0.05,1.019732433646874e-05,0.000244570958396
delegitimation_add,mistral:7b,0.325,40,0.05125,0.05775,0.05125,0.05,3.4945794096342164e-08,2.348017691302956e-06
provenance_add,mistral:7b,0.4333333333333333,60,0.0524999999999999,0.0618333333333333,0.0524999999999999,0.05,1.2806931606342314e-10,3.3568965773417294e-08
decontextualization,mistral:7b,0.4722222222222222,36,0.0694444444444444,0.0733333333333333,0.0694444444444444,0.0500000000000001,2.0172884751529206e-09,8.253039965390508e-07
actor_substitution,mistral:7b,0.1666666666666666,36,0.0283333333333333,0.0466666666666666,0.0283333333333333,0.0249999999999999,0.0014565863486971,0.0060021597860886
action_substitution,mistral:7b,0.125,24,0.0129166666666666,0.0395833333333333,0.0129166666666666,0.0299999999999999,0.1355798010189123,0.2489512118754776
negation,mistral:7b,0.2,10,0.024,0.05,0.024,0.0249999999999999,0.204038958049485,0.314453125
intensity_high,olmo2:7b,0.43333333333333335,30,-0.004666666666566618,0.020000000000100042,-0.004666666666566618,1.1102230246251565e-16,0.49433718049539666,0.17552357311343558
action_substitution,olmo2:7b,0.19047619047619047,21,-0.001904761904619005,0.0066666666668095745,-0.001904761904619005,1.1102230246251565e-16,0.49295006078164316,0.06944300067072544
negation,olmo2:7b,0.36363636363636365,11,-0.01818181818172722,0.023636363636454553,-0.01818181818172722,1.1102230246251565e-16,0.18073776591815702,0.94921875
legitimation_add,olmo2:7b,0.45,20,0.006000000000050043,0.023000000000050036,0.006000000000050043,1.1102230246251565e-16,0.5189797149941264,0.09591123268964989
delegitimation_add,olmo2:7b,0.425,40,-0.005999999999949948,0.021500000000050028,-0.005999999999949948,1.1102230246251565e-16,0.3530103491972588,0.2868109138697892
provenance_add,olmo2:7b,0.36666666666666664,60,-0.014333333333283281,0.02933333333338334,-0.014333333333283281,0.0,0.023104146876837612,0.4747060221429922
decontextualization,olmo2:7b,0.47058823529411764,34,0.01000000000005887,0.02529411764711768,0.01000000000005887,1.1102230246251565e-16,0.18212867494538484,0.007298052351523668
actor_substitution,olmo2:7b,0.4666666666666667,30,0.010000000000000064,0.03600000000000003,0.010000000000000064,1.1102230246251565e-16,0.31034542586616604,0.03170981202553475
