model,label,precision,recall,f1,support
llama3.2:3b,B,0.9411764705882353,0.6857142857142857,0.7933884297520661,70
llama3.2:3b,E,0.13333333333333333,1.0,0.23529411764705882,4
llama3.2:3b,P,0.42857142857142855,1.0,0.6,3
llama3.2:3b,R,0.5555555555555556,0.7142857142857143,0.625,7
llama3.2:3b,S,0.5135135135135135,0.4634146341463415,0.48717948717948717,41
llama3.2:3b,V,0.7878787878787878,0.6933333333333334,0.7375886524822695,75
mistral:7b,B,0.9821428571428571,0.7857142857142857,0.873015873015873,70
mistral:7b,E,0.2857142857142857,1.0,0.4444444444444444,4
mistral:7b,P,0.75,1.0,0.8571428571428571,3
mistral:7b,R,0.2727272727272727,0.42857142857142855,0.3333333333333333,7
mistral:7b,S,0.8,0.1951219512195122,0.3137254901960784,41
mistral:7b,V,0.6761904761904762,0.9466666666666667,0.7888888888888889,75
