perturbation_type,model,CFR_flip_rate,n_perturbations,mean_confidence_delta,mean_abs_confidence_delta,CDE_mean,CDE_median,t_pvalue,wilcoxon_pvalue
actor_substitution,acled-small-llm-ft:v1,0.0666666666666666,45,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,0.0,1.9703444711799168e-11
intensity_high,acled-small-llm-ft:v1,0.125,24,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,0.0,9.633570086430965e-07
action_substitution,acled-small-llm-ft:v1,0.1428571428571428,21,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,0.0,4.592833711753968e-06
negation,acled-small-llm-ft:v1,0.0769230769230769,13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,0.0,0.000244140625
legitimation_add,acled-small-llm-ft:v1,0.1,20,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,0.0,7.74421643104407e-06
delegitimation_add,acled-small-llm-ft:v1,0.05,40,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,0.0,2.5396285894708567e-10
provenance_add,acled-small-llm-ft:v1,0.05,60,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,0.0,9.485737571073744e-15
decontextualization,acled-small-llm-ft:v1,0.0,34,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,0.0,5.5112072519899596e-09
neutral_control,acled-small-llm-ft:v1,0.1333333333333333,15,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,0.0,0.0001075111767295
sufficiency,acled-small-llm-ft:v1,0.0,1,9.999778782798785e-13,9.999778782798785e-13,,,,
actor_substitution,conflibert_finetuned_acled_v1_seed42,0.0,45,1.7417801750586729e-06,2.0439094967327085e-05,1.7417801750586729e-06,1.1920928955078125e-07,0.8160095323115389,0.519964133857852
intensity_high,conflibert_finetuned_acled_v1_seed42,0.0,24,-0.0001004536946614,0.0001544604698816,-0.0001004536946614,-7.629394531305511e-06,0.17526244614242,0.5645889043807983
action_substitution,conflibert_finetuned_acled_v1_seed42,0.0,21,-0.0006409202303205,0.0006639276232038,-0.0006409202303205,-1.776218414328845e-05,0.0612025697842475,0.0887985229492187
negation,conflibert_finetuned_acled_v1_seed42,0.0,13,-7.737599886382417e-05,9.522071251498988e-05,-7.737599886382417e-05,4.529953002707643e-06,0.2863827185187062,0.541748046875
legitimation_add,conflibert_finetuned_acled_v1_seed42,0.0,20,-0.0016335487365722,0.0016424298286438,-0.0016335487365722,-2.384185792125848e-07,0.2638108021881551,0.2942523956298828
delegitimation_add,conflibert_finetuned_acled_v1_seed42,0.0,40,-0.0004279613494873,0.000471669435501,-0.0004279613494873,2.1457672119695737e-06,0.048141542371471,0.5359713830403052
provenance_add,conflibert_finetuned_acled_v1_seed42,0.0,60,-6.537040074669672e-05,7.412433624266098e-05,-6.537040074669672e-05,-1.1920928966180358e-07,0.0734574577556032,0.1101590479392095
decontextualization,conflibert_finetuned_acled_v1_seed42,0.0,34,-0.0014160871505737,0.001425869324628,-0.0014160871505737,2.3841857915707365e-07,0.184741875477221,0.7778686328168113
neutral_control,conflibert_finetuned_acled_v1_seed42,0.0,15,-4.140535990448946e-06,1.1881192525235268e-05,-4.140535990448946e-06,-1.9073486327014777e-06,0.3837949988628288,0.389404296875
sufficiency,conflibert_finetuned_acled_v1_seed42,0.0,1,6.675720214621705e-06,6.675720214621705e-06,,,,
actor_substitution,olmo2:7b,0.1111111111111111,45,0.0033333333333333,0.0055555555555555,0.0033333333333333,0.0,0.2614474923886267,0.0413546539731925
intensity_high,olmo2:7b,0.2916666666666667,24,0.0291666666666666,0.0333333333333333,0.0291666666666666,5.551115123125783e-17,0.005324571557659,0.0032917846819171
action_substitution,olmo2:7b,0.3333333333333333,21,0.0142857142857143,0.0238095238095238,0.0142857142857143,0.0,0.1103892867649218,0.0361358767341071
negation,olmo2:7b,0.3076923076923077,13,-0.0038461538461538,0.0192307692307692,-0.0038461538461538,0.0,0.7213553439751273,1.0
legitimation_add,olmo2:7b,0.1,20,-0.0099999999999999,0.0099999999999999,-0.0099999999999999,0.0,0.0420862867105019,0.1047574898497306
delegitimation_add,olmo2:7b,0.375,40,0.0025,0.0124999999999999,0.0025,0.0,0.5338939001152929,0.2843217140080182
provenance_add,olmo2:7b,0.3666666666666666,60,-0.0049999999999999,0.0149999999999999,-0.0049999999999999,0.0,0.2602806950492963,0.3116992871041496
decontextualization,olmo2:7b,0.1176470588235294,34,0.0058823529411764,0.0058823529411764,0.0058823529411764,0.0,0.0436787913842913,0.0231409313087437
neutral_control,olmo2:7b,0.1333333333333333,15,0.0066666666666666,0.0066666666666666,0.0066666666666666,0.0,0.164317898469599,0.0655996921470718
sufficiency,olmo2:7b,0.0,1,0.0,0.0,,,,
actor_substitution,mistral:7b,0.1333333333333333,45,6.674414107818747e-14,0.0066666666667334,6.674414107818747e-14,1.1102230246251563e-16,0.9999999999833388,6.297234498105015e-06
intensity_high,mistral:7b,0.25,24,0.0166666666666667,0.0166666666666667,0.0166666666666667,1.1102230246251563e-16,0.0173700267237666,1.0166588699735782e-05
action_substitution,mistral:7b,0.238095238095238,21,0.0142857142857143,0.0142857142857143,0.0142857142857143,1.1102230246251563e-16,0.0300466474182882,0.0001558699368766
negation,mistral:7b,0.2307692307692307,13,0.0192307692307693,0.0269230769230769,0.0192307692307693,1.1102230246251563e-16,0.2087492994068583,0.0185546875
legitimation_add,mistral:7b,0.15,20,0.0150000000001,0.0250000000001,0.0150000000001,1.1102230246251563e-16,0.1371797900773364,0.0013999105494439
delegitimation_add,mistral:7b,0.325,40,-0.0199999999998999,0.0424999999999999,-0.0199999999998999,5.551115123125783e-17,0.0371499896865031,0.335704272082807
provenance_add,mistral:7b,0.1666666666666666,60,-0.0324999999998999,0.0408333333332999,-0.0324999999998999,-0.049999999999,8.964500493035766e-07,0.0001672861742555
decontextualization,mistral:7b,0.0,34,0.0132352941177647,0.0132352941177647,0.0132352941177647,1.1102230246251563e-16,0.0048457600117133,8.931404433588702e-07
neutral_control,mistral:7b,0.1333333333333333,15,0.0033333333334,0.0033333333334,0.0033333333334,1.1102230246251563e-16,0.3342819433846374,0.0017768989945419
sufficiency,mistral:7b,0.0,1,1.1102230246251563e-16,1.1102230246251563e-16,,,,
actor_substitution,llama3.2:3b,0.1111111111111111,45,0.0022222222229555,0.0111111111117555,0.0022222222229555,9.999778782798785e-13,0.6597907602465908,3.1213145504169045e-07
intensity_high,llama3.2:3b,0.3333333333333333,24,0.0041666666674166,0.0291666666671666,0.0041666666674166,9.999778782798785e-13,0.7139501617387835,0.0061682283790533
action_substitution,llama3.2:3b,0.0952380952380952,21,0.0095238095245238,0.0190476190483333,0.0095238095245238,9.999778782798785e-13,0.3292565771345317,0.0003949952421004
negation,llama3.2:3b,0.2307692307692307,13,-0.0076923076915384,0.0230769230775384,-0.0076923076915384,9.999778782798785e-13,0.6726862732873515,0.01025390625
legitimation_add,llama3.2:3b,0.2,20,0.00500000000075,0.00500000000075,0.00500000000075,9.999778782798785e-13,0.3298768008466799,3.621789053051504e-05
delegitimation_add,llama3.2:3b,0.175,40,-0.0674999999992499,0.06749999999965,-0.0674999999992499,-0.099999999999,1.0177432204361909e-07,0.0004626404447107
provenance_add,llama3.2:3b,0.1,60,-0.0283333333325833,0.0350000000003166,-0.0283333333325833,9.999778782798785e-13,0.0011143378566315,0.2861799410071683
decontextualization,llama3.2:3b,0.1470588235294117,34,-0.0029411764698823,0.0147058823534706,-0.0029411764698823,9.999778782798785e-13,0.6614515843667441,0.0003119501533611
neutral_control,llama3.2:3b,0.2666666666666666,15,-0.0133333333325999,0.0133333333339333,-0.0133333333325999,9.999778782798785e-13,0.1643178984922887,0.0681635776426738
sufficiency,llama3.2:3b,0.0,1,-0.099999999999,0.099999999999,,,,
actor_substitution,gemma3:4b,0.1111111111111111,45,0.00444444444444451,0.008888888888888948,0.00444444444444451,1.1102230246251565e-16,0.3227784787543017,4.268721577965904e-06
intensity_high,gemma3:4b,0.0,24,0.03333333333333337,0.03333333333333337,0.03333333333333337,1.1102230246251565e-16,0.0025117111678496173,0.00019186820530380462
action_substitution,gemma3:4b,0.14285714285714285,21,0.009523809523809554,0.009523809523809554,0.009523809523809554,0.0,0.16229783307579926,0.00829921599528076
negation,gemma3:4b,0.07692307692307693,13,-0.007692307692307656,0.02307692307692307,-0.007692307692307656,0.0,0.5844928773057785,1.0
legitimation_add,gemma3:4b,0.05,20,-0.0049999999999999324,0.005000000000000055,-0.0049999999999999324,1.1102230246251565e-16,0.32987680092113103,0.02013675155034634
delegitimation_add,gemma3:4b,0.1,40,0.012500000000000063,0.012500000000000063,0.012500000000000063,1.1102230246251565e-16,0.023351920363456277,4.2260819412947487e-07
provenance_add,gemma3:4b,0.06666666666666667,60,0.016666666666666725,0.016666666666666725,0.016666666666666725,1.1102230246251565e-16,0.001090293842462276,3.191265006925598e-10
decontextualization,gemma3:4b,0.0,34,0.0029411764705883064,0.00882352941176477,0.0029411764705883064,1.1102230246251565e-16,0.5714625181422148,6.78384537645476e-05
neutral_control,gemma3:4b,0.06666666666666667,15,3.700743415417188e-17,3.700743415417188e-17,3.700743415417188e-17,0.0,0.019187621399825588,0.025347318677468252
sufficiency,gemma3:4b,0.0,1,0.0,0.0,,,,
