model,feature,feature_value,n_samples,error_rate,error_rate_diff_from_overall
conflibert_conflibert,notes_length,very_short,2,1.0,0.27
conflibert_conflibert,notes_length,short,388,0.7809278350515464,0.0509278350515464
conflibert_conflibert,notes_length,medium,470,0.7106382978723405,-0.0193617021276595
conflibert_conflibert,notes_length,long,138,0.644927536231884,-0.0850724637681159
conflibert_conflibert,notes_length,very_long,2,1.0,0.27
conflibert_conflibert,notes_length_continuous,correlation,1000,-0.135789628746003,1.642573363405638e-05
gemma3:4b,notes_length,very_short,2,0.0,-0.424
gemma3:4b,notes_length,short,388,0.4201030927835051,-0.0038969072164948
gemma3:4b,notes_length,medium,470,0.4340425531914894,0.0100425531914893
gemma3:4b,notes_length,long,138,0.4130434782608695,-0.0109565217391304
gemma3:4b,notes_length,very_long,2,0.0,-0.424
gemma3:4b,notes_length_continuous,correlation,1000,0.0119061034529883,0.7068823438452475
llama3.2:3b,notes_length,very_short,2,0.0,-0.349
llama3.2:3b,notes_length,short,388,0.3659793814432989,0.0169793814432989
llama3.2:3b,notes_length,medium,470,0.3404255319148936,-0.0085744680851063
llama3.2:3b,notes_length,long,138,0.3405797101449275,-0.0084202898550724
llama3.2:3b,notes_length,very_long,2,0.0,-0.349
llama3.2:3b,notes_length_continuous,correlation,1000,-0.0192266149476602,0.5436553898754489
mistral:7b,notes_length,very_short,2,0.0,-0.298
mistral:7b,notes_length,short,388,0.306701030927835,0.008701030927835
mistral:7b,notes_length,medium,470,0.2936170212765957,-0.0043829787234042
mistral:7b,notes_length,long,138,0.2971014492753623,-0.0008985507246376
mistral:7b,notes_length,very_long,2,0.0,-0.298
mistral:7b,notes_length_continuous,correlation,1000,-0.0252552867744468,0.4250035911449404
olmo2:7b,notes_length,very_short,2,0.5,0.19
olmo2:7b,notes_length,short,388,0.3247422680412371,0.0147422680412371
olmo2:7b,notes_length,medium,470,0.3042553191489361,-0.0057446808510638
olmo2:7b,notes_length,long,138,0.2898550724637681,-0.0201449275362318
olmo2:7b,notes_length,very_long,2,0.0,-0.31
olmo2:7b,notes_length_continuous,correlation,1000,-0.049146886662959,0.1203859137409143
conflibert,notes_length,very_short,2,1.0,0.27
conflibert,notes_length,short,388,0.7809278350515464,0.05092783505154641
conflibert,notes_length,medium,470,0.7106382978723405,-0.01936170212765953
conflibert,notes_length,long,138,0.644927536231884,-0.08507246376811595
conflibert,notes_length,very_long,2,1.0,0.27
conflibert,notes_length_continuous,correlation,1000,-0.13578962874600303,1.642573363405638e-05
