model,feature,feature_value,n_samples,error_rate,error_rate_diff_from_overall
mistral:7b,notes_length,very_short,2,0.0,-0.298
mistral:7b,notes_length,short,388,0.30670103092783507,0.008701030927835085
mistral:7b,notes_length,medium,470,0.2936170212765957,-0.004382978723404263
mistral:7b,notes_length,long,138,0.2971014492753623,-0.0008985507246376812
mistral:7b,notes_length,very_long,2,0.0,-0.298
mistral:7b,notes_length_continuous,correlation,1000,-0.02525528677444687,0.42500359114494046
llama3.2:3b,notes_length,very_short,2,0.0,-0.349
llama3.2:3b,notes_length,short,388,0.36597938144329895,0.01697938144329897
llama3.2:3b,notes_length,medium,470,0.3404255319148936,-0.008574468085106368
llama3.2:3b,notes_length,long,138,0.34057971014492755,-0.008420289855072427
llama3.2:3b,notes_length,very_long,2,0.0,-0.349
llama3.2:3b,notes_length_continuous,correlation,1000,-0.019226614947660228,0.5436553898754489
gemma3:4b,notes_length,very_short,2,0.0,-0.424
gemma3:4b,notes_length,short,388,0.42010309278350516,-0.003896907216494827
gemma3:4b,notes_length,medium,470,0.4340425531914894,0.01004255319148939
gemma3:4b,notes_length,long,138,0.41304347826086957,-0.01095652173913042
gemma3:4b,notes_length,very_long,2,0.0,-0.424
gemma3:4b,notes_length_continuous,correlation,1000,0.011906103452988355,0.7068823438452475
olmo2:7b,notes_length,very_short,2,0.5,0.19
olmo2:7b,notes_length,short,388,0.3247422680412371,0.014742268041237128
olmo2:7b,notes_length,medium,470,0.30425531914893617,-0.0057446808510638325
olmo2:7b,notes_length,long,138,0.2898550724637681,-0.02014492753623187
olmo2:7b,notes_length,very_long,2,0.0,-0.31
olmo2:7b,notes_length_continuous,correlation,1000,-0.049146886662959,0.12038591374091437
