model,prob_col,threshold,accepted,coverage,correct,accuracy,total_valid
mistral:7b,pred_conf,0.0,200,1.0,139,0.695,200
mistral:7b,pred_conf,0.1,200,1.0,139,0.695,200
mistral:7b,pred_conf,0.2,200,1.0,139,0.695,200
mistral:7b,pred_conf,0.3,200,1.0,139,0.695,200
mistral:7b,pred_conf,0.4,200,1.0,139,0.695,200
mistral:7b,pred_conf,0.5,200,1.0,139,0.695,200
mistral:7b,pred_conf,0.6,200,1.0,139,0.695,200
mistral:7b,pred_conf,0.7,200,1.0,139,0.695,200
mistral:7b,pred_conf,0.8,200,1.0,139,0.695,200
mistral:7b,pred_conf,0.9,188,0.94,135,0.718,200
mistral:7b,pred_conf,0.95,188,0.94,135,0.718,200
mistral:7b,pred_conf,0.99,53,0.265,35,0.66,200
llama3.2:3b,pred_conf,0.0,200,1.0,133,0.665,200
llama3.2:3b,pred_conf,0.1,200,1.0,133,0.665,200
llama3.2:3b,pred_conf,0.2,200,1.0,133,0.665,200
llama3.2:3b,pred_conf,0.3,200,1.0,133,0.665,200
llama3.2:3b,pred_conf,0.4,200,1.0,133,0.665,200
llama3.2:3b,pred_conf,0.5,200,1.0,133,0.665,200
llama3.2:3b,pred_conf,0.6,200,1.0,133,0.665,200
llama3.2:3b,pred_conf,0.7,200,1.0,133,0.665,200
llama3.2:3b,pred_conf,0.8,200,1.0,133,0.665,200
llama3.2:3b,pred_conf,0.9,195,0.975,131,0.672,200
llama3.2:3b,pred_conf,0.95,129,0.645,89,0.69,200
llama3.2:3b,pred_conf,0.99,129,0.645,89,0.69,200
gemma3:4b,pred_conf,0.0,200,1.0,117,0.585,200
gemma3:4b,pred_conf,0.1,200,1.0,117,0.585,200
gemma3:4b,pred_conf,0.2,200,1.0,117,0.585,200
gemma3:4b,pred_conf,0.3,200,1.0,117,0.585,200
gemma3:4b,pred_conf,0.4,200,1.0,117,0.585,200
gemma3:4b,pred_conf,0.5,200,1.0,117,0.585,200
gemma3:4b,pred_conf,0.6,200,1.0,117,0.585,200
gemma3:4b,pred_conf,0.7,200,1.0,117,0.585,200
