model,label,precision,recall,f1,support
acled-small-llm-ft:v1,B,0.9565217391304348,0.9428571428571428,0.9496402877697842,70
acled-small-llm-ft:v1,E,0.6666666666666666,1.0,0.8,4
acled-small-llm-ft:v1,P,1.0,1.0,1.0,3
acled-small-llm-ft:v1,R,1.0,1.0,1.0,7
acled-small-llm-ft:v1,S,0.9761904761904762,1.0,0.9879518072289156,41
acled-small-llm-ft:v1,V,0.9863013698630136,0.96,0.972972972972973,75
conflibert_finetuned_acled_v1_seed42,B,0.9848484848484849,0.9285714285714286,0.9558823529411765,70
conflibert_finetuned_acled_v1_seed42,E,0.6666666666666666,1.0,0.8,4
conflibert_finetuned_acled_v1_seed42,P,1.0,1.0,1.0,3
conflibert_finetuned_acled_v1_seed42,R,1.0,0.8571428571428571,0.9230769230769231,7
conflibert_finetuned_acled_v1_seed42,S,0.9761904761904762,1.0,0.9879518072289156,41
conflibert_finetuned_acled_v1_seed42,V,0.961038961038961,0.9866666666666667,0.9736842105263158,75
gemma3:4b,B,1.0,0.5428571428571428,0.7037037037037037,70
gemma3:4b,E,0.3333333333333333,1.0,0.5,4
gemma3:4b,P,0.75,1.0,0.8571428571428571,3
gemma3:4b,R,0.8,0.5714285714285714,0.6666666666666666,7
gemma3:4b,S,1.0,0.024390243902439025,0.047619047619047616,41
gemma3:4b,V,0.5357142857142857,1.0,0.6976744186046512,75
llama3.2:3b,B,0.9824561403508771,0.8,0.8818897637795275,70
llama3.2:3b,E,0.25,1.0,0.4,4
llama3.2:3b,P,1.0,1.0,1.0,3
llama3.2:3b,R,0.0,0.0,0.0,7
llama3.2:3b,S,0.8,0.0975609756097561,0.17391304347826086,41
llama3.2:3b,V,0.646551724137931,1.0,0.7853403141361257,75
mistral:7b,B,0.8767123287671232,0.9142857142857143,0.8951048951048951,70
mistral:7b,E,0.3076923076923077,1.0,0.47058823529411764,4
mistral:7b,P,0.2727272727272727,1.0,0.42857142857142855,3
mistral:7b,R,0.16666666666666666,0.42857142857142855,0.24,7
mistral:7b,S,1.0,0.07317073170731707,0.13636363636363635,41
mistral:7b,V,0.7560975609756098,0.8266666666666667,0.7898089171974523,75
olmo2:7b,B,0.8666666666666667,0.9285714285714286,0.896551724137931,70
olmo2:7b,E,0.3076923076923077,1.0,0.47058823529411764,4
olmo2:7b,P,0.10714285714285714,1.0,0.1935483870967742,3
olmo2:7b,R,0.125,0.14285714285714285,0.13333333333333333,7
olmo2:7b,S,1.0,0.04878048780487805,0.09302325581395349,41
olmo2:7b,V,0.7432432432432432,0.7333333333333333,0.738255033557047,75
