model,label,threshold
acled-small-llm-ft:v1,V,0.30000000000000004
acled-small-llm-ft:v1,B,0.30000000000000004
acled-small-llm-ft:v1,E,0.30000000000000004
acled-small-llm-ft:v1,P,0.30000000000000004
acled-small-llm-ft:v1,R,0.30000000000000004
acled-small-llm-ft:v1,S,0.30000000000000004
llama3.2:3b,V,0.30000000000000004
llama3.2:3b,B,0.30000000000000004
llama3.2:3b,E,0.30000000000000004
llama3.2:3b,P,0.30000000000000004
llama3.2:3b,R,0.0
llama3.2:3b,S,0.30000000000000004
gemma3:4b,V,0.30000000000000004
gemma3:4b,B,0.30000000000000004
gemma3:4b,E,0.30000000000000004
gemma3:4b,P,0.30000000000000004
gemma3:4b,R,0.30000000000000004
gemma3:4b,S,0.2
mistral:7b,V,0.30000000000000004
mistral:7b,B,0.30000000000000004
mistral:7b,E,0.30000000000000004
mistral:7b,P,0.30000000000000004
mistral:7b,R,0.30000000000000004
mistral:7b,S,0.30000000000000004
conflibert_finetuned_acled_v1_seed42,V,0.0
conflibert_finetuned_acled_v1_seed42,B,0.0
conflibert_finetuned_acled_v1_seed42,E,0.0
conflibert_finetuned_acled_v1_seed42,P,0.0
conflibert_finetuned_acled_v1_seed42,R,0.0
conflibert_finetuned_acled_v1_seed42,S,0.0
olmo2:7b,V,0.30000000000000004
olmo2:7b,B,0.30000000000000004
olmo2:7b,E,0.30000000000000004
olmo2:7b,P,0.30000000000000004
olmo2:7b,R,0.2
olmo2:7b,S,0.2
