perturbation_type,model,CFR_flip_rate,n_perturbations,mean_confidence_delta,mean_abs_confidence_delta,CDE_mean,CDE_median,t_pvalue,wilcoxon_pvalue
actor_substitution,olmo2:7b,0.5555555555555556,27,-0.0785185185185184,0.0785185185185184,-0.0785185185185184,-0.0999999999999998,1.3151103264645266e-07,3.5990235031883766e-05
intensity_high,olmo2:7b,0.5,30,-0.0873333333333332,0.0873333333333332,-0.0873333333333332,-0.0999999999999998,1.2035383018766909e-10,2.841780862029474e-06
action_substitution,olmo2:7b,0.5,24,-0.0799999999999998,0.0799999999999999,-0.0799999999999998,-0.0749999999999999,4.289191519676341e-08,3.589045468126861e-05
negation,olmo2:7b,0.3636363636363636,11,-0.1036363636363634,0.1036363636363634,-0.1036363636363634,-0.0999999999999998,7.090790935726817e-06,0.0009765625
legitimation_add,olmo2:7b,0.7,20,-0.0759999999999998,0.0859999999999998,-0.0759999999999998,-0.0699999999999999,2.367643231374253e-05,0.00106326572331
delegitimation_add,olmo2:7b,0.5,36,-0.0727777777777776,0.0749999999999999,-0.0727777777777776,-0.0499999999999999,3.305961884362237e-08,2.928117414171326e-06
provenance_add,olmo2:7b,0.6481481481481481,54,-0.0812962962962961,0.0849999999999998,-0.0812962962962961,-0.0999999999999998,6.6990412186779605e-15,7.340665002116037e-09
decontextualization,olmo2:7b,0.6470588235294118,34,-0.0879411764705881,0.0879411764705881,-0.0879411764705881,-0.0999999999999998,2.9901179801405474e-11,1.2310120502466029e-06
actor_substitution,mistral:7b,0.3333333333333333,27,0.0166666666666666,0.0477777777777777,0.0166666666666666,-0.0200000000000001,0.1104388558676306,0.0933460560606709
intensity_high,mistral:7b,0.3333333333333333,27,0.0159259259259258,0.0403703703703703,0.0159259259259258,0.02,0.0689199211128196,0.3457257277768896
action_substitution,mistral:7b,0.1666666666666666,18,-0.0088888888888889,0.0344444444444444,-0.0088888888888889,-0.03,0.3370937289225175,0.1336035828439029
negation,mistral:7b,0.2222222222222222,9,-0.0222222222222222,0.06,-0.0222222222222222,-0.03,0.3905666958934669,0.40234375
legitimation_add,mistral:7b,0.4,20,0.0284999999999999,0.0584999999999999,0.0284999999999999,0.0299999999999999,0.0744940726406948,0.107595852531157
delegitimation_add,mistral:7b,0.4722222222222222,36,0.0233333333333333,0.0622222222222222,0.0233333333333333,0.0299999999999999,0.061362402575726,0.0875846893572295
provenance_add,mistral:7b,0.4259259259259259,54,0.0131481481481481,0.0601851851851851,0.0131481481481481,0.0299999999999999,0.1839316098435327,0.1729931740493228
decontextualization,mistral:7b,0.2941176470588235,34,0.0385294117647058,0.0573529411764705,0.0385294117647058,0.0299999999999999,0.0005103922474959,0.0061904963085531
actor_substitution,gemma3:4b,0.5714285714285714,21,0.038571428571428444,0.047142857142857056,0.038571428571428444,0.029999999999999916,4.9932235589939175e-05,0.0034796833547933097
intensity_high,gemma3:4b,0.4074074074074074,27,0.036296296296296195,0.054074074074074004,0.036296296296296195,0.06000000000000005,0.0002889169698519861,0.013987911007259416
action_substitution,gemma3:4b,0.5238095238095238,21,0.0138095238095237,0.0452380952380952,0.0138095238095237,0.029999999999999916,0.2060781370810023,0.7382999683963043
negation,gemma3:4b,0.375,8,0.012499999999999886,0.04499999999999997,0.012499999999999886,0.029999999999999916,0.5075832198423242,0.9375
legitimation_add,gemma3:4b,0.45,20,0.03749999999999988,0.05349999999999992,0.03749999999999988,0.06499999999999995,0.0011495903977822102,0.015114427263042268
delegitimation_add,gemma3:4b,0.5263157894736842,38,0.03526315789473671,0.05368421052631573,0.03526315789473671,0.06499999999999995,2.732455998104324e-05,0.0018068944666912235
provenance_add,gemma3:4b,0.5087719298245614,57,0.05368421052631567,0.06035087719298235,0.05368421052631567,0.06999999999999984,3.52459042334362e-16,5.125706550326347e-09
decontextualization,gemma3:4b,0.4375,32,0.04437499999999988,0.051874999999999914,0.04437499999999988,0.06499999999999995,2.154335359975142e-08,4.5308531825095736e-05
