model,label,precision,recall,f1,support
gemma3:4b,B,0.8260869565217391,0.8837209302325582,0.8539325842696629,86
gemma3:4b,E,0.5,0.13333333333333333,0.21052631578947367,15
gemma3:4b,P,1.0,1.0,1.0,21
gemma3:4b,R,0.4166666666666667,0.7142857142857143,0.5263157894736842,7
gemma3:4b,S,1.0,0.3333333333333333,0.5,15
gemma3:4b,V,0.8181818181818182,0.9642857142857143,0.8852459016393442,56
llama3.2:3b,B,0.8421052631578947,0.7441860465116279,0.7901234567901234,86
llama3.2:3b,E,0.2222222222222222,0.13333333333333333,0.16666666666666666,15
llama3.2:3b,P,0.9130434782608695,1.0,0.9545454545454546,21
llama3.2:3b,R,0.75,0.42857142857142855,0.5454545454545454,7
llama3.2:3b,S,0.4482758620689655,0.8666666666666667,0.5909090909090909,15
llama3.2:3b,V,0.7288135593220338,0.7678571428571429,0.7478260869565218,56
mistral:7b,B,0.8690476190476191,0.8488372093023255,0.8588235294117647,86
mistral:7b,E,0.6666666666666666,0.13333333333333333,0.2222222222222222,15
mistral:7b,P,1.0,1.0,1.0,21
mistral:7b,R,0.4,0.2857142857142857,0.3333333333333333,7
mistral:7b,S,0.9230769230769231,0.8,0.8571428571428571,15
mistral:7b,V,0.7027027027027027,0.9285714285714286,0.8,56
olmo2:7b,B,0.9,0.8372093023255814,0.8674698795180723,86
olmo2:7b,E,0.3333333333333333,0.5333333333333333,0.41025641025641024,15
olmo2:7b,P,0.9130434782608695,1.0,0.9545454545454546,21
olmo2:7b,R,0.3333333333333333,0.42857142857142855,0.375,7
olmo2:7b,S,0.9166666666666666,0.7333333333333333,0.8148148148148148,15
olmo2:7b,V,0.8269230769230769,0.7678571428571429,0.7962962962962963,56
