model,prob_col,threshold,accepted,coverage,correct,accuracy,total_valid
llama3.2:3b,pred_conf,0.0,200,1.0,148,0.74,200
llama3.2:3b,pred_conf,0.1,200,1.0,148,0.74,200
llama3.2:3b,pred_conf,0.2,200,1.0,148,0.74,200
llama3.2:3b,pred_conf,0.3,200,1.0,148,0.74,200
llama3.2:3b,pred_conf,0.4,200,1.0,148,0.74,200
llama3.2:3b,pred_conf,0.5,200,1.0,148,0.74,200
llama3.2:3b,pred_conf,0.6,200,1.0,148,0.74,200
llama3.2:3b,pred_conf,0.7,200,1.0,148,0.74,200
llama3.2:3b,pred_conf,0.8,195,0.975,147,0.754,200
llama3.2:3b,pred_conf,0.9,138,0.69,108,0.783,200
llama3.2:3b,pred_conf,0.95,126,0.63,97,0.77,200
llama3.2:3b,pred_conf,0.99,58,0.29,46,0.793,200
olmo2:7b,pred_conf,0.0,200,1.0,148,0.74,200
olmo2:7b,pred_conf,0.1,200,1.0,148,0.74,200
olmo2:7b,pred_conf,0.2,200,1.0,148,0.74,200
olmo2:7b,pred_conf,0.3,200,1.0,148,0.74,200
olmo2:7b,pred_conf,0.4,200,1.0,148,0.74,200
olmo2:7b,pred_conf,0.5,200,1.0,148,0.74,200
olmo2:7b,pred_conf,0.6,200,1.0,148,0.74,200
olmo2:7b,pred_conf,0.7,200,1.0,148,0.74,200
olmo2:7b,pred_conf,0.8,199,0.995,147,0.739,200
olmo2:7b,pred_conf,0.9,136,0.68,99,0.728,200
olmo2:7b,pred_conf,0.95,136,0.68,99,0.728,200
olmo2:7b,pred_conf,0.99,5,0.025,3,0.6,200
mistral:7b,pred_conf,0.0,200,1.0,162,0.81,200
mistral:7b,pred_conf,0.1,200,1.0,162,0.81,200
mistral:7b,pred_conf,0.2,200,1.0,162,0.81,200
mistral:7b,pred_conf,0.3,200,1.0,162,0.81,200
mistral:7b,pred_conf,0.4,200,1.0,162,0.81,200
mistral:7b,pred_conf,0.5,200,1.0,162,0.81,200
mistral:7b,pred_conf,0.6,200,1.0,162,0.81,200
mistral:7b,pred_conf,0.7,200,1.0,162,0.81,200
mistral:7b,pred_conf,0.8,192,0.96,156,0.812,200
mistral:7b,pred_conf,0.9,164,0.82,136,0.829,200
mistral:7b,pred_conf,0.95,100,0.5,79,0.79,200
mistral:7b,pred_conf,0.99,0,0.0,0,,200
gemma3:4b,pred_conf,0.0,200,1.0,156,0.78,200
gemma3:4b,pred_conf,0.1,200,1.0,156,0.78,200
gemma3:4b,pred_conf,0.2,200,1.0,156,0.78,200
gemma3:4b,pred_conf,0.3,200,1.0,156,0.78,200
gemma3:4b,pred_conf,0.4,200,1.0,156,0.78,200
gemma3:4b,pred_conf,0.5,200,1.0,156,0.78,200
gemma3:4b,pred_conf,0.6,200,1.0,156,0.78,200
gemma3:4b,pred_conf,0.7,200,1.0,156,0.78,200
gemma3:4b,pred_conf,0.8,200,1.0,156,0.78,200
gemma3:4b,pred_conf,0.9,131,0.655,106,0.809,200
gemma3:4b,pred_conf,0.95,8,0.04,6,0.75,200
gemma3:4b,pred_conf,0.99,0,0.0,0,,200
llama3.2:3b,pred_conf_iso,0.0,200,1.0,148,0.74,200
llama3.2:3b,pred_conf_iso,0.1,200,1.0,148,0.74,200
llama3.2:3b,pred_conf_iso,0.2,195,0.975,147,0.754,200
llama3.2:3b,pred_conf_iso,0.3,195,0.975,147,0.754,200
llama3.2:3b,pred_conf_iso,0.4,195,0.975,147,0.754,200
llama3.2:3b,pred_conf_iso,0.5,195,0.975,147,0.754,200
llama3.2:3b,pred_conf_iso,0.6,152,0.76,121,0.796,200
llama3.2:3b,pred_conf_iso,0.7,152,0.76,121,0.796,200
llama3.2:3b,pred_conf_iso,0.8,0,0.0,0,,200
