perturbation_type,model,CFR_flip_rate,n_perturbations,mean_confidence_delta,mean_abs_confidence_delta,CDE_mean,CDE_median,t_pvalue,wilcoxon_pvalue
actor_substitution,llama3.2:3b,0.2,30,6.000311358889121e-13,0.0066666666672666,6.000311358889121e-13,9.999778782798785e-13,0.9999999999010044,1.5809057084975768e-05
intensity_high,llama3.2:3b,0.119047619047619,42,0.0119047619054047,0.0119047619054047,0.0119047619054047,9.999778782798785e-13,0.0234547855558388,5.01754105311262e-09
action_substitution,llama3.2:3b,0.1666666666666666,36,0.0138888888895555,0.0138888888895555,0.0138888888895555,9.999778782798785e-13,0.0231086757763766,5.4917198787423664e-08
negation,llama3.2:3b,0.2307692307692307,13,-0.0076923076916922,0.0230769230772308,-0.0076923076916922,9.999778782798785e-13,0.584492877333695,0.12109375
legitimation_add,llama3.2:3b,0.05,20,0.01000000000065,0.01000000000065,0.01000000000065,9.999778782798785e-13,0.1625499990009141,4.949087631773726e-05
delegitimation_add,llama3.2:3b,0.2368421052631578,38,-0.0263157894729999,0.0368421052633684,-0.0263157894729999,5.000444502911705e-13,0.0058288370320353,0.9694884048849975
provenance_add,llama3.2:3b,0.0701754385964912,57,-0.0175438596484912,0.0280701754388421,-0.0175438596484912,1.1102230246251563e-16,0.0111166512834232,0.1686350723053633
decontextualization,llama3.2:3b,0.0,34,-0.0029411764699411,0.0088235294122941,-0.0029411764699411,9.999778782798785e-13,0.5714625182247063,8.77100872919723e-05
neutral_control,llama3.2:3b,0.1052631578947368,19,-0.0052631578941052,0.0052631578953684,-0.0052631578941052,9.999778782798785e-13,0.3305649313378211,0.0022697737227637
actor_substitution,acled-small-llm-ft:v1,0.03333333333333333,30,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,0.0,4.320463057827488e-08
intensity_high,acled-small-llm-ft:v1,0.0,42,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,0.0,9.12734179928913e-11
action_substitution,acled-small-llm-ft:v1,0.1111111111111111,36,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,0.0,1.973175290075389e-09
negation,acled-small-llm-ft:v1,0.0,13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,0.0,0.000244140625
legitimation_add,acled-small-llm-ft:v1,0.0,20,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,0.0,7.74421643104407e-06
delegitimation_add,acled-small-llm-ft:v1,0.10526315789473684,38,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,0.0,7.074463098970675e-10
provenance_add,acled-small-llm-ft:v1,0.10526315789473684,57,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,0.0,4.358119027032043e-14
decontextualization,acled-small-llm-ft:v1,0.0,34,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,0.0,5.5112072519899596e-09
neutral_control,acled-small-llm-ft:v1,0.0,19,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,9.999778782798785e-13,0.0,1.3071845366763019e-05
