model,feature,feature_value,n_samples,error_rate,error_rate_diff_from_overall
llama3.2:3b,notes_length,very_short,4,0.0,-0.158
llama3.2:3b,notes_length,short,303,0.1782178217821782,0.0202178217821782
llama3.2:3b,notes_length,medium,443,0.1670428893905192,0.0090428893905191
llama3.2:3b,notes_length,long,233,0.1287553648068669,-0.029244635193133
llama3.2:3b,notes_length,very_long,17,0.0,-0.158
llama3.2:3b,notes_length_continuous,correlation,1000,-0.0547960963566622,0.08328446037504
gemma3:4b,notes_length,very_short,4,0.25,-0.1019999999999999
gemma3:4b,notes_length,short,303,0.3465346534653465,-0.0054653465346534
gemma3:4b,notes_length,medium,443,0.3611738148984199,0.0091738148984198
gemma3:4b,notes_length,long,233,0.3476394849785407,-0.0043605150214592
gemma3:4b,notes_length,very_long,17,0.2941176470588235,-0.0578823529411764
gemma3:4b,notes_length_continuous,correlation,1000,0.0050700748778855,0.8727783963962037
olmo2:7b,notes_length,very_short,4,0.5,0.207
olmo2:7b,notes_length,short,303,0.2772277227722772,-0.0157722772277227
olmo2:7b,notes_length,medium,443,0.3047404063205418,0.0117404063205417
olmo2:7b,notes_length,long,233,0.3004291845493562,0.0074291845493562
olmo2:7b,notes_length,very_long,17,0.1176470588235294,-0.1753529411764705
olmo2:7b,notes_length_continuous,correlation,1000,0.0049206337874943,0.8764977646972744
mistral:7b,notes_length,very_short,4,0.0,-0.213
mistral:7b,notes_length,short,303,0.1947194719471947,-0.0182805280528052
mistral:7b,notes_length,medium,443,0.2347629796839729,0.0217629796839729
mistral:7b,notes_length,long,233,0.2060085836909871,-0.0069914163090128
mistral:7b,notes_length,very_long,17,0.1176470588235294,-0.0953529411764705
mistral:7b,notes_length_continuous,correlation,1000,0.005127332580068,0.8713540757254628
conflibert,notes_length,very_short,4,0.75,0.136
conflibert,notes_length,short,303,0.6534653465346535,0.0394653465346535
conflibert,notes_length,medium,443,0.6478555304740407,0.03385553047404066
conflibert,notes_length,long,233,0.4978540772532189,-0.1161459227467811
conflibert,notes_length,very_long,17,0.5882352941176471,-0.025764705882352912
conflibert,notes_length_continuous,correlation,1000,-0.1226570381827536,0.00010082556123109439
