model,prob_col,threshold,accepted,coverage,correct,accuracy,total_valid
llama3.2:3b,pred_conf,0.0,200,1.0,173,0.865,200
llama3.2:3b,pred_conf,0.1,200,1.0,173,0.865,200
llama3.2:3b,pred_conf,0.2,200,1.0,173,0.865,200
llama3.2:3b,pred_conf,0.3,200,1.0,173,0.865,200
llama3.2:3b,pred_conf,0.4,200,1.0,173,0.865,200
llama3.2:3b,pred_conf,0.5,200,1.0,173,0.865,200
llama3.2:3b,pred_conf,0.6,200,1.0,173,0.865,200
llama3.2:3b,pred_conf,0.7,200,1.0,173,0.865,200
llama3.2:3b,pred_conf,0.8,200,1.0,173,0.865,200
llama3.2:3b,pred_conf,0.9,197,0.985,171,0.868,200
llama3.2:3b,pred_conf,0.95,169,0.845,150,0.888,200
llama3.2:3b,pred_conf,0.99,169,0.845,150,0.888,200
mistral:7b,pred_conf,0.0,200,1.0,160,0.8,200
mistral:7b,pred_conf,0.1,200,1.0,160,0.8,200
mistral:7b,pred_conf,0.2,200,1.0,160,0.8,200
mistral:7b,pred_conf,0.3,200,1.0,160,0.8,200
mistral:7b,pred_conf,0.4,200,1.0,160,0.8,200
mistral:7b,pred_conf,0.5,200,1.0,160,0.8,200
mistral:7b,pred_conf,0.6,200,1.0,160,0.8,200
mistral:7b,pred_conf,0.7,200,1.0,160,0.8,200
mistral:7b,pred_conf,0.8,200,1.0,160,0.8,200
mistral:7b,pred_conf,0.9,180,0.9,148,0.822,200
mistral:7b,pred_conf,0.95,180,0.9,148,0.822,200
mistral:7b,pred_conf,0.99,24,0.12,22,0.917,200
olmo2:7b,pred_conf,0.0,200,1.0,142,0.71,200
olmo2:7b,pred_conf,0.1,200,1.0,142,0.71,200
olmo2:7b,pred_conf,0.2,200,1.0,142,0.71,200
olmo2:7b,pred_conf,0.3,200,1.0,142,0.71,200
olmo2:7b,pred_conf,0.4,200,1.0,142,0.71,200
olmo2:7b,pred_conf,0.5,200,1.0,142,0.71,200
olmo2:7b,pred_conf,0.6,200,1.0,142,0.71,200
olmo2:7b,pred_conf,0.7,200,1.0,142,0.71,200
olmo2:7b,pred_conf,0.8,199,0.995,141,0.709,200
olmo2:7b,pred_conf,0.9,95,0.475,80,0.842,200
olmo2:7b,pred_conf,0.95,32,0.16,25,0.781,200
olmo2:7b,pred_conf,0.99,3,0.015,2,0.667,200
gemma3:4b,pred_conf,0.0,200,1.0,129,0.645,200
gemma3:4b,pred_conf,0.1,200,1.0,129,0.645,200
gemma3:4b,pred_conf,0.2,200,1.0,129,0.645,200
gemma3:4b,pred_conf,0.3,200,1.0,129,0.645,200
gemma3:4b,pred_conf,0.4,200,1.0,129,0.645,200
gemma3:4b,pred_conf,0.5,200,1.0,129,0.645,200
gemma3:4b,pred_conf,0.6,200,1.0,129,0.645,200
gemma3:4b,pred_conf,0.7,200,1.0,129,0.645,200
gemma3:4b,pred_conf,0.8,200,1.0,129,0.645,200
gemma3:4b,pred_conf,0.9,152,0.76,105,0.691,200
gemma3:4b,pred_conf,0.95,152,0.76,105,0.691,200
gemma3:4b,pred_conf,0.99,0,0.0,0,,200
llama3.2:3b,pred_conf_iso,0.0,200,1.0,173,0.865,200
llama3.2:3b,pred_conf_iso,0.1,200,1.0,173,0.865,200
llama3.2:3b,pred_conf_iso,0.2,200,1.0,173,0.865,200
llama3.2:3b,pred_conf_iso,0.3,200,1.0,173,0.865,200
llama3.2:3b,pred_conf_iso,0.4,197,0.985,171,0.868,200
llama3.2:3b,pred_conf_iso,0.5,197,0.985,171,0.868,200
llama3.2:3b,pred_conf_iso,0.6,197,0.985,171,0.868,200
llama3.2:3b,pred_conf_iso,0.7,197,0.985,171,0.868,200
llama3.2:3b,pred_conf_iso,0.8,169,0.845,150,0.888,200
llama3.2:3b,pred_conf_iso,0.9,0,0.0,0,,200
llama3.2:3b,pred_conf_iso,0.95,0,0.0,0,,200
llama3.2:3b,pred_conf_iso,0.99,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.0,200,1.0,160,0.8,200
mistral:7b,pred_conf_iso,0.1,200,1.0,160,0.8,200
mistral:7b,pred_conf_iso,0.2,200,1.0,160,0.8,200
mistral:7b,pred_conf_iso,0.3,200,1.0,160,0.8,200
mistral:7b,pred_conf_iso,0.4,200,1.0,160,0.8,200
mistral:7b,pred_conf_iso,0.5,180,0.9,148,0.822,200
mistral:7b,pred_conf_iso,0.6,180,0.9,148,0.822,200
mistral:7b,pred_conf_iso,0.7,180,0.9,148,0.822,200
mistral:7b,pred_conf_iso,0.8,180,0.9,148,0.822,200
mistral:7b,pred_conf_iso,0.9,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.95,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.99,0,0.0,0,,200
olmo2:7b,pred_conf_iso,0.0,200,1.0,142,0.71,200
olmo2:7b,pred_conf_iso,0.1,200,1.0,142,0.71,200
olmo2:7b,pred_conf_iso,0.2,200,1.0,142,0.71,200
olmo2:7b,pred_conf_iso,0.3,166,0.83,134,0.807,200
olmo2:7b,pred_conf_iso,0.4,166,0.83,134,0.807,200
olmo2:7b,pred_conf_iso,0.5,166,0.83,134,0.807,200
olmo2:7b,pred_conf_iso,0.6,166,0.83,134,0.807,200
olmo2:7b,pred_conf_iso,0.7,166,0.83,134,0.807,200
olmo2:7b,pred_conf_iso,0.8,95,0.475,80,0.842,200
olmo2:7b,pred_conf_iso,0.9,0,0.0,0,,200
olmo2:7b,pred_conf_iso,0.95,0,0.0,0,,200
olmo2:7b,pred_conf_iso,0.99,0,0.0,0,,200
gemma3:4b,pred_conf_iso,0.0,200,1.0,129,0.645,200
gemma3:4b,pred_conf_iso,0.1,200,1.0,129,0.645,200
gemma3:4b,pred_conf_iso,0.2,200,1.0,129,0.645,200
gemma3:4b,pred_conf_iso,0.3,200,1.0,129,0.645,200
gemma3:4b,pred_conf_iso,0.4,152,0.76,105,0.691,200
gemma3:4b,pred_conf_iso,0.5,152,0.76,105,0.691,200
gemma3:4b,pred_conf_iso,0.6,152,0.76,105,0.691,200
gemma3:4b,pred_conf_iso,0.7,152,0.76,105,0.691,200
gemma3:4b,pred_conf_iso,0.8,0,0.0,0,,200
gemma3:4b,pred_conf_iso,0.9,0,0.0,0,,200
