model,label,precision,recall,f1,support
conflibert_conflibert,B,0.4689265536723164,0.9651162790697675,0.6311787072243346,86
conflibert_conflibert,E,0.08695652173913043,0.13333333333333333,0.10526315789473684,15
conflibert_conflibert,P,0.0,0.0,0.0,21
conflibert_conflibert,R,0.0,0.0,0.0,7
conflibert_conflibert,S,0.0,0.0,0.0,15
conflibert_conflibert,V,0.0,0.0,0.0,56
gemma3:4b,B,0.8775510204081632,0.5,0.6370370370370371,86
gemma3:4b,E,1.0,0.2,0.3333333333333333,15
gemma3:4b,P,0.9130434782608695,1.0,0.9545454545454546,21
gemma3:4b,R,0.14285714285714285,0.14285714285714285,0.14285714285714285,7
gemma3:4b,S,1.0,0.3333333333333333,0.5,15
gemma3:4b,V,0.49557522123893805,1.0,0.6627218934911243,56
llama3.2:3b,B,0.9615384615384616,0.872093023255814,0.9146341463414634,86
llama3.2:3b,E,0.9230769230769231,0.8,0.8571428571428571,15
llama3.2:3b,P,0.9545454545454546,1.0,0.9767441860465116,21
llama3.2:3b,R,0.5,0.42857142857142855,0.46153846153846156,7
llama3.2:3b,S,0.8888888888888888,0.5333333333333333,0.6666666666666666,15
llama3.2:3b,V,0.75,0.9642857142857143,0.84375,56
mistral:7b,B,0.8526315789473684,0.9418604651162791,0.8950276243093923,86
mistral:7b,E,1.0,0.2,0.3333333333333333,15
mistral:7b,P,0.65625,1.0,0.7924528301886793,21
mistral:7b,R,0.25,0.42857142857142855,0.3157894736842105,7
mistral:7b,S,0.8888888888888888,0.5333333333333333,0.6666666666666666,15
mistral:7b,V,0.8979591836734694,0.7857142857142857,0.8380952380952381,56
olmo2:7b,B,0.79,0.9186046511627907,0.8494623655913979,86
olmo2:7b,E,0.3333333333333333,0.13333333333333333,0.19047619047619047,15
olmo2:7b,P,0.4666666666666667,1.0,0.6363636363636364,21
olmo2:7b,R,0.25,0.14285714285714285,0.18181818181818182,7
olmo2:7b,S,1.0,0.2,0.3333333333333333,15
olmo2:7b,V,0.8571428571428571,0.6428571428571429,0.7346938775510204,56
