word,category,delta_mean,delta_std,count,flip_rate,n_total,p_value,significant,score_shift_pct,impact_magnitude
using excessive force,delegitimation_add,-0.029999999999672684,0.04962824763125964,55,0.3090909090909091,55,3.873557349715877e-05,True,-2.9999999999672684,22.248595461044246
"Negate ""killed"" → ""did not kill""",negation,-0.025925925925555534,0.05256931389617181,27,0.3333333333333333,27,0.01652721818256416,True,-2.5925925925555533,13.471506280898806
"Negate ""shot"" → ""did not shoot""",negation,-0.05999999999959995,0.054772255750607846,5,0.2,5,0.0704839969117691,False,-5.999999999959995,13.416407864909285
unprovoked,delegitimation_add,-0.016964285713964248,0.04793630785088959,56,0.26785714285714285,56,0.010536641123276605,True,-1.696428571396425,12.694908990599595
Government officials stated that,provenance_add,0.09999999999999998,0.0,1,0.0,1,1.0,False,9.999999999999998,9.999999999999998
in a brutal manner,delegitimation_add,-0.099999999999,0.0,1,0.0,1,1.0,False,-9.9999999999,9.9999999999
violently,intensity_high,0.011250000000350018,0.032986982669425034,40,0.075,40,0.03723258850115661,True,1.1250000000350018,7.115124735600225
severely,intensity_high,0.009782608696000023,0.029096706986890552,46,0.13043478260869565,46,0.027379175493512497,True,0.9782608696000024,6.634888027206294
engaged,action_substitution,-0.03333333333333329,0.05773502691896249,3,0.0,3,0.42264973081037416,False,-3.333333333333329,5.77350269189625
fought,action_substitution,-0.03333333333333329,0.05773502691896249,3,0.0,3,0.42264973081037416,False,-3.333333333333329,5.77350269189625
two,neutral_control,-0.014999999999599977,0.03374742788539595,10,0.1,10,0.1934220596125387,False,-1.4999999999599978,4.743416490126071
State-run media reported that,provenance_add,-0.006363636363290882,0.04620259878693074,55,0.12727272727272726,55,0.31159223205833525,False,-0.6363636363290882,4.719399036986479
security personnel,actor_substitution,0.008695652174217422,0.02881040655190699,23,0.17391304347826086,23,0.16185962329182005,False,0.8695652174217422,4.17028828128747
apprehended,action_substitution,0.016666666667000025,0.04082482904622298,6,0.0,6,0.3632174676385771,False,1.6666666667000025,4.082482904720286
three,neutral_control,0.016666666666833346,0.040824829046304634,6,0.16666666666666666,6,0.3632174676438497,False,1.6666666666833345,4.082482904679457
to restore order,legitimation_add,-0.004999999999666636,0.019957582136766027,60,0.06666666666666667,60,0.05708877725761867,False,-0.49999999996666356,3.8729833459491942
"Negate ""arrested"" → ""did not arrest""",negation,0.014285714286000022,0.03779644730079672,7,0.2857142857142857,7,0.35591768373916804,False,1.4285714286000022,3.7796447301678713
Official sources claimed that,provenance_add,-0.004545454545109062,0.03999158160552392,55,0.07272727272727272,55,0.40298738765079295,False,-0.4545454545109062,3.3709993120599933
brutally,intensity_high,0.004651162791046534,0.02393929199022717,43,0.06976744186046512,43,0.2096527878806655,False,0.4651162791046534,3.049971406880856
confronted,action_substitution,-0.016666666666666607,0.028867513459481284,3,0.3333333333333333,3,0.4226497308103755,False,-1.6666666666666607,2.8867513459481184
shot,action_substitution,-0.005555555555185165,0.034899122022446445,27,0.07407407407407407,27,0.41566810013567884,False,-0.5555555555185165,2.8867513457556684
"According to state media,",provenance_add,-0.0037037037033518217,0.04217198821233273,54,0.12962962962962962,54,0.5214714055333093,False,-0.37037037033518216,2.7216552695005074
Location Y,decontextualization,-0.003636363636018156,0.03708666708417356,55,0.07272727272727272,55,0.4702679479933522,False,-0.3636363636018156,2.6967994495967536
noted,neutral_control,0.0062500000005625,0.024999999999849993,16,0.0,16,0.3331701358705243,False,0.62500000005625,2.500000000225
officers,actor_substitution,0.004347826087260901,0.020851441405641116,23,0.13043478260869565,23,0.32818326184604113,False,0.4347826087260901,2.0851441407167224
Location X,decontextualization,-0.0027272727269272486,0.0325152127047259,55,0.07272727272727272,55,0.5365285707084383,False,-0.27272727269272484,2.0225995871335125
executed,action_substitution,0.00370370370407409,0.030778132615266088,27,0.07407407407407407,27,0.5372360843483956,False,0.370370370407409,1.924500897491211
murdered,action_substitution,0.0018518518522222403,0.009622504486419749,27,0.037037037037037035,27,0.32652702216200274,False,0.18518518522222402,0.9622504488418357
law enforcement,actor_substitution,3.043797098425587e-13,0.030151134457776337,23,0.08695652173913043,23,0.9999999999618071,False,3.043797098425587e-11,1.4597538075197218e-10
"Negate ""injured"" → ""did not injure""",negation,6.666519188532524e-13,5.773374972085587e-13,3,0.0,3,0.18350341907227397,False,6.666519188532524e-11,1.1546749944171175e-10
during,neutral_control,3.750472155061857e-13,5.174917541896051e-13,8,0.0,8,0.07954499815435642,False,3.750472155061857e-11,1.0607937173982256e-10
government troops,actor_substitution,9.999778782798785e-13,0.0,1,0.0,1,1.0,False,9.999778782798785e-11,9.999778782798785e-11
armed forces,actor_substitution,9.999778782798785e-13,0.0,1,0.0,1,1.0,False,9.999778782798785e-11,9.999778782798785e-11
targeting civilians indiscriminately,delegitimation_add,9.999778782798785e-13,0.0,1,0.0,1,1.0,False,9.999778782798785e-11,9.999778782798785e-11
security forces,actor_substitution,9.999778782798785e-13,0.0,1,0.0,1,1.0,False,9.999778782798785e-11,9.999778782798785e-11
captured,action_substitution,3.333629668607803e-13,5.163576924390355e-13,6,0.0,6,0.17462858846882148,False,3.333629668607803e-11,8.165691679492497e-11
detained,action_substitution,3.333629668607803e-13,0.06324555320336754,6,0.0,6,0.9999999999901977,False,3.333629668607803e-11,8.165691679492497e-11
four,neutral_control,2.2226664952995634e-13,4.4092082508691533e-13,9,0.0,9,0.16891249415308493,False,2.2226664952995634e-11,6.66799948589869e-11
subsequently,neutral_control,3.333999742949345e-13,5.772733984523458e-13,3,0.0,3,0.42252153758022304,False,3.333999742949345e-11,5.7746569472098424e-11
six,neutral_control,3.333259594266262e-13,5.773374972085587e-13,3,0.0,3,0.4226497308103742,False,3.333259594266262e-11,5.773374972085587e-11
following,neutral_control,0.0,0.0,2,0.0,2,,False,0.0,0.0
